ID,Affect, Article, Cause, Certain, Cogproc, Discrep, Insight, Motion, Negate, Negemo, They, SheHe, Prep, Ppron, Posemo, I, We, See, Hear, Social, Space, Tentat, Time, Conj, Excl, Incl, FocusPresent, FocusFuture, FocusPast, Differ, Reward, Risk, Quant, Compare, Swear, Netspeak, Interrog, You,Conj, Affiliation, Power,NN, NNP, PRP, PRP$, WP, DT, WDT, CD, RB, UH, VB, JJ, VBD, VBG, VBN, VBP, VBZ, MD,avg word length,Content Diversity,noun phrase count,noun phrase avg length,redundancy,sentences,words,big words,words captured %,syllables,syllables per word,flesh kincaid,fog index,smog index,avg words per sentence,NP avg length,stop words %,capital words,label
0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,3,0,1,1,0,0,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,0,0,4.15,1,6,1.666666667,0.266666667,3,20,1,0.002407463,25,1.25,1.76,2.666666667,3.1291,6.666666667,1.666666667,0.210526316,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,1,1,3,0.166666667,2,6,0,0.001203732,7,1.166666667,-0.653333333,1.2,3.1291,3,3,0,0,0
2,2,1,0,0,2,0,1,1,0,0,0,0,4,0,2,0,0,0,0,2,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,10,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,1,2,4.233333333,0.846153846,7,2.142857143,0.3,5,30,4,0.003009329,38,1.266666667,1.696666667,2.4,3.1291,6,2.142857143,0.230769231,2,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,3,2,0,0,2,1,1,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,0.818181818,3,1.666666667,0.555555556,2,11,1,0.002407463,13,1.181818182,0.500454545,2.2,3.1291,5.5,1.666666667,0.181818182,2,0
4,0,0,0,0,2,0,1,1,1,0,0,2,2,3,0,1,0,0,0,2,1,0,0,1,0,1,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.428571429,0.923076923,2,1,1.285714286,1,14,0,0.003009329,14,1,1.67,5.6,3.1291,14,1,0.461538462,1,0
6,1,0,0,0,1,0,0,0,1,0,1,0,4,4,1,3,0,0,1,3,0,0,0,0,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,3,0,2,0,0,0,0,1,0,1,3.75,0.875,2,2,1.375,2,16,1,0.003611195,17,1.0625,0.0675,3.2,3.1291,8,2,0.5,0,0
7,0,0,0,1,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,2,0,0,1,0,1,0,0,0,1,2,0,0,0,3,2,1,1,5,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,4.961538462,0.833333333,7,2.285714286,0.428571429,2,26,7,0.003310262,37,1.423076923,6.272307692,8.276923077,8.841846275,13,2.285714286,0.416666667,0,0
9,2,2,0,0,1,0,0,0,0,0,0,0,5,2,2,0,0,1,0,2,1,1,4,1,1,1,0,0,1,1,0,0,1,2,0,2,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,2,4,1,0,0,0,0,1,4.275862069,0.814814815,7,2.428571429,0.625,3,29,3,0.005115859,38,1.310344828,3.642068966,5.245977011,6.4273556,9.666666667,2.428571429,0.407407407,3,1
10,1,0,0,0,1,1,0,1,0,1,0,0,2,3,0,3,0,0,0,1,0,0,4,1,0,1,5,3,1,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,1,0,0,2,0,4,0,1,0,0,0,0,0,3.44,0.909090909,3,1.666666667,0.923076923,3,25,2,0.004513993,27,1.08,0.404,3.333333333,3.1291,8.333333333,1.666666667,0.409090909,2,0
11,1,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,2,3,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,3.655172414,0.888888889,9,1.444444444,0.384615385,3,29,2,0.002708396,33,1.137931034,1.607586207,3.866666667,3.1291,9.666666667,1.444444444,0.277777778,4,1
