ID,Affect, Article, Cause, Certain, Cogproc, Discrep, Insight, Motion, Negate, Negemo, They, SheHe, Prep, Ppron, Posemo, I, We, See, Hear, Social, Space, Tentat, Time, Conj, Excl, Incl, FocusPresent, FocusFuture, FocusPast, Differ, Reward, Risk, Quant, Compare, Swear, Netspeak, Interrog, You,Conj, Affiliation, Power,NN, NNP, PRP, PRP$, WP, DT, WDT, CD, RB, UH, VB, JJ, VBD, VBG, VBN, VBP, VBZ, MD,avg word length,Content Diversity,noun phrase count,noun phrase avg length,redundancy,sentences,words,big words,words captured %,syllables,syllables per word,flesh kincaid,fog index,smog index,avg words per sentence,NP avg length,stop words %,capital words,label,,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5.75,1,1,2,1.5,0.8,1,8,3,0.000902799,11,1.375,3.755,3.2,3.1291,8,1.5,0.375,0,1
1,0,4,0,0,0,0,0,1,0,0,0,0,3,4,0,2,2,2,0,5,2,0,2,2,0,3,2,0,0,0,0,0,0,1,0,1,0,0,2,2,0,5,0,1,2,0,3,0,0,0,0,1,4,0,0,0,1,0,1,0,3.96875,0,0.870967742,7,2,0.833333333,3,32,4,0.006018658,37,1.15625,2.21375,4.266666667,3.1291,10.66666667,2,0.419354839,6,1
2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3.875,1,1,1,1,2.5,1,8,1,0.001805597,11,1.375,3.755,8.2,8.841846275,8,1,0.714285714,1,1
3,3,0,0,0,0,0,0,1,0,1,0,0,1,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3.7,0,0.888888889,2,2.5,0.8,1,10,2,0.001805597,13,1.3,3.65,4,3.1291,10,2.5,0.444444444,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166666667,1,1,2,1,1,1,6,2,0.000601866,6,1,-1.45,2.4,3.1291,6,1,0.5,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,4.428571429,1,1,4,2,0.666666667,4,14,2,0.00210653,18,1.285714286,0.946428571,4.257142857,5.985473137,3.5,2,0.357142857,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,2,1,1,4,2,0.000601866,6,1.5,3.67,1.6,3.1291,4,2,0.5,0,1
7,0,1,0,0,1,1,0,2,0,0,0,0,4,3,0,3,0,1,0,0,2,0,1,1,1,1,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,2,0,0,1,2,0,0,1,0,0,0,3.111111111,0,0.833333333,1,1,1.714285714,2,18,0,0.004513993,19,1.055555556,0.375555556,3.6,3.1291,9,1,0.611111111,0,0
8,1,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.625,1,1,2,2,1,1,8,1,0.001504664,10,1.25,2.28,3.2,3.1291,8,2,0.5,1,1
9,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,3,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,3.714285714,0,0.923076923,3,1.333333333,1.8,1,14,2,0.003310262,15,1.071428571,2.512857143,5.6,3.1291,14,1.333333333,0.615384615,1,1
